21-09-2025 /  *** - ** - ***
22-09-2025 /  447 - 52 - 480
23-09-2025 /  690 - 58 - 260
24-09-2025 /  590 - 49 - 460
25-09-2025 /  790 - 69 - 135
26-09-2025 /  458 - 79 - 126
27-10-2025 /  159 - 59 - 117
28-10-2025 /  158 - 44 - 220
29-10-2025 /  159 - 59 - 568
30-10-2025 /  789 - 42 - 589
31-10-2025 /  379 - 90 - 127
01-11-2025 /  569 - 08 - 125  
02-11-2025 /  *** - ** - ***
03-11-2025 /  780 - 55 - 168
04-11-2025 /  578 - 02 - 120
05-11-2025 /  147 - 23 - 120
06-11-2025 /  578 - 00 - 460
07-11-2025 /  578 - 05 - 258
08-11-2025 /  129 - 27 - 368
09-11-2025 /  *** - ** - ***
10-11-2025 /  135 - 91 - 128
11-11-2025 /  335 - 16 - 790
12-11-2025 /  189 - 84 - 266
13-11-2025 /  129 - 20 - 370
14-11-2025 /  125 - 84 - 590
15-11-2025 /  149 - 47 - 133
16-11-2025 /  *** - ** - ***
17-11-2025 /  780 - 52 - 570
18-11-2025 /  469 - 96 - 268
19-11-2025 /  348 - 53 - 256
20-11-2025 /  560 - 11 - 290
21-11-2025 /  160 - 70 - 479
22-11-2025 /  279 - 82 - 255
23-11-2025 /  *** - ** - ***
24-11-2025 /  126 - 91 - 560
25-11-2025 /  126 - 97 - 890
26-11-2025 /  268 - 67 - 278
27-11-2025 /  458 - 79 - 180
28-11-2025 /  136 - 09 - 234
29-11-2025 /  279 - 87 - 449
30-11-2025 /  *** - ** - ***
01-12-2025 /  557 - 78 - 990
02-12-2025 /  456 - 52 - 246
03-12-2025 /  669 - 12 - 255
04-12-2025 /  *** - ** - ***
05-12-2025 /  349 - 64 - 239
06-12-2025 /  560 - 17 - 250
07-12-2025 /  *** - ** - ***
08-12-2025 /  678 - 16 - 259
09-12-2025 /  680 - 43 - 490
10-12-2025 /  890 - 78 - 350
11-12-2025 /  270 - 91 - 137
12-12-2025 /  480 - 27 - 368
13-12-2025 /  490 - 30 - 235
14-12-2025 /  *** - ** - ***
15-12-2025 /  349 - 64 - 248
16-12-2025 /  599 - 30 - 569
17-12-2025 /  478 - 97 - 188
18-12-2025 /  456 - 55 - 339
19-12-2025 /  180 - 97 - 223
20-12-2025 /  139 - 39 - 478
21-12-2025 /  *** - ** - ***
22-12-2025 /  157 - 33 - 238
23-12-2025 /  445 - 38 - 558
24-12-2025 /  366 - 53 - 229
