08-06-2025 /  *** - ** - ***
09-06-2025 /  245 - 14 - 770
10-06-2025 /  450 - 97 - 557
11-06-2025 /  560 - 12 - 110
12-06-2025 /  190 - 04 - 149
13-06-2025 /  239 - 44 - 239
14-06-2025 /  240 - 64 - 266
15-06-2025 /  *** - ** - ***
16-06-2025 /  489 - 12 - 570
17-06-2025 /  246 - 21 - 344
18-06-2025 /  137 - 15 - 258
19-06-2025 /  800 - 87 - 160
20-06-2025 /  457 - 67 - 458
21-06-2025 /  599 - 35 - 113
22-06-2025 /  *** - ** - ***
23-06-2025 /  350 - 83 - 355
24-06-2025 /  570 - 21 - 470
25-06-2025 /  145 - 06 - 457
26-06-2025 /  247 - 33 - 300
27-06-2025 /  245 - 10 - 127
28-06-2025 /  459 - 86 - 150
29-06-2025 /  *** - ** - ***
30-06-2025 /  278 - 74 - 680
01-07-2025 /  567 - 89 - 117
02-07-2025 /  899 - 62 - 499
03-07-2025 /  167 - 46 - 259
04-07-2025 /  580 - 30 - 334
05-07-2025 /  120 - 32 - 255
06-07-2025 /  *** - ** - ***
07-07-2025 /  370 - 04 - 248
08-07-2025 /  660 - 29 - 117
09-07-2025 /  220 - 45 - 500
10-07-2025 /  124 - 72 - 660
11-07-2025 /  290 - 16 - 178
12-07-2025 /  347 - 40 - 244
13-07-2025 /  *** - ** - ***
14-07-2025 /  339 - 55 - 690
15-07-2025 /  589 - 21 - 678
16-07-2025 /  240 - 61 - 380
17-07-2025 /  990 - 89 - 234
18-07-2025 /  169 - 68 - 468
19-07-2025 /  667 - 99 - 559
20-07-2025 /  *** - ** - ***
21-07-2025 /  146 - 19 - 199
22-07-2025 /  780 - 54 - 239
23-07-2025 /  368 - 70 - 578
24-07-2025 /  119 - 13 - 229
25-07-2025 /  589 - 22 - 390
26-07-2025 /  118 - 06 - 169
27-07-2025 /  *** - ** - ***
28-07-2025 /  560 - 10 - 578
29-07-2025 /  155 - 17 - 449
20-07-2025 /  236 - 11 - 290
31-07-2025 /  127 - 08 - 468
01-08-2025 /  124 - 70 - 569
02-08-2025 /  288 - 82 - 246
03-08-2025 /  *** - ** - ***
04-08-2025 /  449 - 70 - 226
05-08-2025 /  166 - 33 - 580
06-08-2025 /  378 - 82 - 570
07-08-2025 /  159 - 54 - 158
08-08-2025 /  178 - 65 - 366
09-08-2025 /  360 - 94 - 158
10-08-2025 /  *** - ** - ***
11-08-2025 /  568 - 91 - 344
12-08-2025 /  225 - 97 - 188
13-08-2025 /  568 - 97 - 700
14-08-2025 /  188 - 73 - 139
15-08-2025 /  *** - ** - ***
16-08-2025 /  257 - 59 - 360
17-08-2025 /  *** - ** - ***
18-08-2025 /  800 - 87 - 250
19-08-2025 /  480 - 25 - 267
20-08-2025 /  789 - 49 - 117
21-08-2025 /  120 - 34 - 112
22-08-2025 /  260 - 89 - 559
23-08-2025 /  279 - 80 - 136
24-08-2025 /  *** - ** - ***
25-08-2025 /  125 - 88 - 125
26-08-2025 /  124 - 71 - 588
28-08-2025 /  238 - 34 - 248
29-08-2025 /  166 - 32 - 138
30-08-2025 /  139 - 35 - 267
31-08-2025 /  *** - ** - ***
01-09-2025 /  136 - 04 - 338
02-09-2025 /  249 - 43 - 670
03-09-2025 /  233 - 85 - 267
04-09-2025 /  358 - 66 - 268
05-09-2025 /  229 - 36 - 367
06-09-2025 /  335 - 11 - 227
07-09-2025 /  *** - ** - ***
08-09-2025 /  379 - 98 - 378
09-09-2025 /  357 - 59 - 126
10-09-2025 /  560 - 16 - 790
11-09-2025 /  469 - 96 - 790
12-09-2025 /  238 - 38 - 279
13-09-2025 /  140 - 55 - 348
14-09-2025 /  *** - ** - ***
15-09-2025 /  288 - 86 - 178
16-09-2025 /  179 - 75 - 348
17-09-2025 /  667 - 96 - 277
18-09-2025 /  120 - 35 - 690
19-09-2025 /  588 - 15 - 348
20-09-2025 /  148 - 35 - 780
21-09-2025 /  *** - ** - ***
22-09-2025 /  400 - 41 - 128
23-09-2025 /  224 - 89 - 270
24-09-2025 /  570 - 20 - 460
25-09-2025 /  588 - 15 - 230
26-09-2025 /  128 - 12 - 156
27-09-2025 /  699 - 47 - 115
28-09-2025 /  *** - ** - ***
29-09-2025 /  100 - 19 - 360
30-09-2025 /  268 - 66 - 349
01-10-2025 /  238 - 30 - 569
02-10-2025 /  279 - 82 - 679
03-10-2025 /  390 - 20 - 578
