15-08-2025 /  *** - ** - ***
16-08-2025 /  180 - 92 - 138
17-08-2025 /  448 - 60 - 668
18-08-2025 /  169 - 65 - 168
19-08-2025 /  240 - 63 - 580
20-08-2025 /  569 - 07 - 179
21-08-2025 /  890 - 75 - 456
22-08-2025 /  136 - 04 - 167
23-08-2025 /  358 - 60 - 280
24-08-2025 /  270 - 94 - 590
25-08-2025 /  779 - 30 - 235
26-08-2025 /  570 - 20 - 244
27-08-2025 /  480 - 26 - 466
28-08-2025 /  279 - 86 - 457
29-08-2025 /  147 - 20 - 569
30-08-2025 /  148 - 33 - 256
31-08-2025 /  157 - 37 - 124
01-09-2025 /  279 - 88 - 459
02-09-2025 /  150 - 62 - 480
03-09-2025 /  190 - 00 - 460
04-09-2025 /  126 - 94 - 446
05-09-2025 /  455 - 47 - 223
06-09-2025 /  890 - 71 - 380
07-09-2025 /  356 - 43 - 580
08-09-2025 /  228 - 24 - 266
09-09-2025 /  590 - 42 - 660
10-09-2025 /  266 - 49 - 234
11-09-2025 /  379 - 97 - 458
12-09-2025 /  348 - 50 - 578
13-09-2025 /  289 - 93 - 256
14-09-2025 /  368 - 75 - 249
15-09-2025 /  144 - 93 - 689
16-09-2025 /  578 - 00 - 226
17-09-2025 /  590 - 46 - 169
18-09-2025 /  566 - 72 - 679
19-09-2025 /  168 - 51 - 588
20-09-2025 /  379 - 95 - 159
21-09-2025 /  267 - 52 - 129
22-09-2025 /  278 - 73 - 689
23-09-2025 /  890 - 74 - 347
24-09-2025 /  134 - 86 - 259
25-09-2025 /  269 - 74 - 130
26-09-2025 /  257 - 43 - 670
27-09-2025 /  145 - 01 - 470
28-09-2025 /  378 - 81 - 119
29-09-2025 /  369 - 88 - 350
30-09-2025 /  458 - 74 - 400
01-10-2025 /  233 - 80 - 127
02-10-2025 /  147 - 27 - 377
03-10-2025 /  468 - 81 - 470
04-10-2025 /  368 - 75 - 780
05-10-2025 /  347 - 45 - 267
06-10-2025 /  256 - 37 - 250
07-10-2025 /  234 - 94 - 158
08-10-2025 /  145 - 02 - 480
09-10-2025 /  249 - 51 - 146
10-10-2025 /  190 - 07 - 458
11-10-2025 /  238 - 38 - 477
12-10-2025 /  289 - 97 - 340
13-10-2025 /  889 - 54 - 248
14-10-2025 /  490 - 38 - 468
15-10-2025 /  238 - 39 - 270
16-10-2025 /  469 - 19 - 290
17-10-2025 /  260 - 87 - 890
18-10-2025 /  349 - 60 - 479
19-10-2025 /  345 - 23 - 120
20-10-2025 /  157 - 38 - 800
21-10-2025 /  467 - 71 - 155
22-10-2025 /  557 - 78 - 468 
23-10-2025 /  340 - 73 - 157
24-10-2025 /  279 - 86 - 268
25-10-2025 /  178 - 61 - 470
26-10-2025 /  116 - 84 - 149
27-10-2025 /  224 - 85 - 258
28-10-2025 /  445 - 33 - 256
29-10-2025 /  849 - 17 - 124
30-10-2025 /  789 - 42 - 570
31-10-2025 /  126 - 99 - 234
01-11-2025 /  167 - 49 - 360
02-11-2025 /  457 - 68 - 170
03-11-2025 /  180 - 99 - 135
04-11-2025 /  778 - 22 - 138
05-11-2025 /  248 - 47 - 467
06-11-2025 /  157 - 39 - 144
